dataset,model,gene,pearson,css
Breast Visium CID44971,novosparc,fcer1g,0.4602317598132748,0.6142351947022093
Breast Visium CID44971,novosparc,hmgb2,0.4587655179032735,0.7989883627824366
Breast Visium CID44971,novosparc,rps23,0.4498396820469248,0.9833289331010122
Breast Visium CID44971,novosparc,s100a6,0.4493510814667955,0.9628056860346655
Breast Visium CID44971,novosparc,rpl35,0.447657312251402,0.9830494207873554
Breast Visium CID44971,novosparc,pfdn2,0.4444786852487229,0.8087797287817193
Breast Visium CID44971,novosparc,abracl,0.4439148859770969,0.8183939958120336
Breast Visium CID44971,novosparc,cdc123,0.4257096382476834,0.7668072132561194
Breast Visium CID44971,novosparc,mrpl51,0.4078483634566638,0.8425032649615709
Breast Visium CID44971,novosparc,dcdc2,0.4034210639483631,0.4559805878184831
Breast Visium CID44971,novosparc,rps19,0.4023536468052513,0.9954700502142928
Breast Visium CID44971,novosparc,rplp0,0.4016958213381261,0.9877273701354551
Breast Visium CID44971,novosparc,rps16,0.3957680033467729,0.9861498836106874
Breast Visium CID44971,novosparc,htra1,0.3913939038866649,0.5819048661890712
Breast Visium CID44971,novosparc,kiaa1324,0.3901466226727899,0.664656814073041
Breast Visium CID44971,novosparc,crabp1,0.3865071964343107,0.6574394636943752
Breast Visium CID44971,novosparc,vwf,0.3799927800903673,0.45608221033857005
Breast Visium CID44971,novosparc,ndufs5,0.3799226998893198,0.914658762472392
Breast Visium CID44971,novosparc,col5a2,0.3793077526563411,0.5116910082246444
Breast Visium CID44971,novosparc,c2orf40,0.3777710131327001,0.48346407800896185
Breast Visium CID44971,novosparc,zg16b,0.3776877261249545,0.47071495273990954
Breast Visium CID44971,novosparc,npm1,0.3768706410819309,0.882915522908867
Breast Visium CID44971,novosparc,myh11,0.376616571349181,0.4784811707005221
Breast Visium CID44971,novosparc,hla-dma,0.3728293102603459,0.669773335708055
Breast Visium CID44971,novosparc,ran,0.3706759559332101,0.8792196408117744
Breast Visium CID44971,novosparc,hla-dmb,0.3688452775750946,0.5797020007807637
Breast Visium CID44971,novosparc,ifitm2,0.3656040844137179,0.7696923959917775
Breast Visium CID44971,novosparc,lamb3,0.364658811541415,0.4851225743329986
Breast Visium CID44971,novosparc,lamtor5,0.3605238788080828,0.8249953631276498
Breast Visium CID44971,novosparc,plek,0.3577736990918901,0.51028528415135
Breast Visium CID44971,novosparc,mxra8,0.3554953195919073,0.5189332745260679
Breast Visium CID44971,novosparc,col6a3,0.3492255939587642,0.5142378934099513
Breast Visium CID44971,novosparc,ndufb4,0.3471845303924643,0.866597798258491
